test,date,snumber,sname,qnumber,qname1,qname2,example1,example2,example3,example4,answer,explain
"mock",000000,1,"소프트웨어설계",1,"소프트웨어 설계에서 '모듈화'의 주요 목적은 무엇인가?","","① 코드의 재사용성 향상","② 개발 속도 향상","③ 유지보수의 용이성","④ 사용자 인터페이스 개선","① 코드의 재사용성 향상","모듈화는 코드의 재사용성을 높이고 유지보수를 쉽게 만듭니다."
"mock",000000,1,"소프트웨어설계",2,"객체지향 설계에서 '상속'을 사용하는 이유는 무엇인가?","","① 코드 중복을 줄이기 위해","② 객체 간의 관계를 쉽게 표현하기 위해","③ 객체의 상태를 쉽게 관리하기 위해","④ 클래스 간의 의존성을 줄이기 위해","① 코드 중복을 줄이기 위해","상속은 코드의 중복을 줄이고 기능을 확장하는 데 사용됩니다."
"mock",000000,1,"소프트웨어설계",3,"소프트웨어 설계에서 '추상화'의 정의는 무엇인가?","","① 세부 사항을 숨기고 중요한 기능만 표현하는 것","② 데이터베이스를 설계하는 것","③ 객체를 분리하는 것","④ 시스템을 최적화하는 것","① 세부 사항을 숨기고 중요한 기능만 표현하는 것","추상화는 불필요한 세부 정보를 숨기고 중요한 부분만을 드러내는 설계 기법입니다."
"mock",000000,1,"소프트웨어설계",4,"소프트웨어 설계에서 '상호작용'을 정의한 것 중 옳은 것은?","","① 두 객체 간의 데이터 전송","② 두 객체 간의 기능 호출","③ 두 객체 간의 메시지 전달","④ 두 객체 간의 상태 공유","③ 두 객체 간의 메시지 전달","상호작용은 객체 간의 메시지 전달을 통해 이루어지며, 이로 인해 객체들이 협력하게 됩니다."
"mock",000000,1,"소프트웨어설계",5,"소프트웨어 설계에서 '캡슐화'의 장점은 무엇인가?","","① 데이터와 함수의 독립성 확보","② 코드 실행 속도 향상","③ 디버깅 용이","④ 코드 중복 최소화","① 데이터와 함수의 독립성 확보","캡슐화는 데이터와 그 데이터를 처리하는 함수들을 하나의 단위로 묶어 독립성을 유지하게 합니다."
"mock",000000,1,"소프트웨어설계",6,"소프트웨어 설계에서 '다형성'이란 무엇인가?","","① 동일한 메시지로 서로 다른 행동을 하는 것","② 상속 관계를 정의하는 것","③ 클래스의 상태를 정의하는 것","④ 객체가 다른 객체와 상호작용하는 것","① 동일한 메시지로 서로 다른 행동을 하는 것","다형성은 동일한 메시지로 다양한 방법으로 처리할 수 있는 기능입니다."
"mock",000000,1,"소프트웨어설계",7,"객체지향 설계에서 '인터페이스'의 목적은 무엇인가?","","① 객체의 내부 구현을 감추기 위해","② 객체 간의 상속 관계를 정의하기 위해","③ 클래스의 데이터를 보호하기 위해","④ 객체 간의 데이터 전송을 최적화하기 위해","① 객체의 내부 구현을 감추기 위해","인터페이스는 객체의 내부 구현을 숨기고 외부에서 사용할 수 있는 메서드만 제공합니다."
"mock",000000,1,"소프트웨어설계",8,"소프트웨어 설계에서 '설계 패턴'을 사용하는 이유는 무엇인가?","","① 반복적인 설계를 피하기 위해","② 코드 실행 속도를 높이기 위해","③ 코드의 중복을 늘리기 위해","④ 객체 간의 의존성을 높이기 위해","① 반복적인 설계를 피하기 위해","설계 패턴은 재사용 가능한 솔루션을 제공하여 반복적인 설계를 줄이고 코드 품질을 향상시킵니다."
"mock",000000,1,"소프트웨어설계",9,"소프트웨어 설계에서 '정보 은닉'의 주요 목적은 무엇인가?","","① 외부의 잘못된 접근을 방지하기 위해","② 코드 실행 속도를 향상시키기 위해","③ 코드의 가독성을 높이기 위해","④ 데이터의 중복을 줄이기 위해","① 외부의 잘못된 접근을 방지하기 위해","정보 은닉은 객체의 상태를 외부에서 변경하지 못하게 하여 데이터 무결성을 보장합니다."
"mock",000000,1,"소프트웨어설계",10,"소프트웨어 설계에서 '상태 다이어그램'을 사용하는 목적은 무엇인가?","","① 객체의 상태 변화를 시각적으로 표현하기 위해","② 객체 간의 관계를 정의하기 위해","③ 기능적 요구사항을 명세하기 위해","④ 시스템의 성능을 분석하기 위해","① 객체의 상태 변화를 시각적으로 표현하기 위해","상태 다이어그램은 객체가 시간에 따라 어떻게 변화하는지 시각적으로 나타냅니다."
"mock",000000,1,"소프트웨어설계",11,"소프트웨어 설계에서 '클래스 다이어그램'을 사용하는 목적은 무엇인가?","","① 클래스 간의 관계를 시각적으로 표현하기 위해","② 시스템의 흐름을 표현하기 위해","③ 시스템의 성능을 분석하기 위해","④ 사용자 요구사항을 명세하기 위해","① 클래스 간의 관계를 시각적으로 표현하기 위해","클래스 다이어그램은 클래스 간의 상속, 연관, 의존 관계를 나타내는 데 사용됩니다."
