test,date,snumber,sname,qnumber,qname1,qname2,example1,example2,example3,example4,answer,explain
"previous","220305",1,"소프트웨어설계",1,"검토회의 전에 요구사항 명세서를 미리 배포하여 사전 검토한 후 짧은 검토 회의를 통해 오류를 조기에 검출하는데 목적을 두는 요구 사항 검토 방법은?","","① 빌드 검증","② 동료 검토","③ 워크 스루","④ 개발자 검토","③ 워크 스루","워크 스루는 요구사항 명세서를 작성한 사람이 문서를 읽어주고, 참여자들이 질문하거나 의견을 제시하는 방식으로 진행되는 요구사항 검토 방법입니다."
"previous","220305",1,"소프트웨어설계",2,"코드 설계에서 일정한 일련번호를 부여하는 방식의 코드는?","","① 연상 코드","② 블록 코드","③ 순차 코드","④ 표의 숫자 코드","③ 순차 코드","순차 코드는 일정한 기준에 따라 최초의 자료부터 차례로 일련번호를 부여하는 방식의 코드로, 제품번호, 주민등록번호, 상품 코드 등이 순차 코드에 해당합니다."
"previous","220305",1,"소프트웨어설계",3,"객체지향 프로그램에서 데이터를 추상화하는 단위는?","","① 메소드","② 클래스","③ 상속성","④ 메시지","② 클래스","클래스를 통해 데이터는 속성으로, 함수는 메소드로 정의됩니다."
"previous","220305",1,"소프트웨어설계",4,"데이터 흐름도(DFD)의 구성요소에 포함되지 않는 것은?","","① process","② data flow","③ data store","④ data dictionary","④ data dictionary","데이터 흐름도는 프로세스, 데이터 흐름, 데이터 저장소의 구성 요소로 이루어져 있습니다."
"previous","220305",1,"소프트웨어설계",5,"소프트웨어 설계시 구축된 플랫폼의 성능특성 분석에 사용되는 측정 항목이 아닌 것은?","","① 응답시간(Response Time)","② 가용성(Availability)","③ 사용률(Utilization)","④ 서버 튜닝(Server Tuning)","④ 서버 튜닝(Server Tuning)","서버 튜닝은 구축된 플랫폼의 성능을 개선하기 위한 작업을 의미하며, 성능 특성 분석에 사용되는 측정 항목이 아니라, 성능 특성 분석의 결과를 바탕으로 수행되는 작업입니다."
"previous","220305",1,"소프트웨어설계",6,"UML 확장 모델에서 스테레오 타입 객체를 표현할 때 사용하는 기호로 맞는 것은?","","① 《 》","② (( ))","③ {{ }}","④ [[ ]]","① 《 》","UML 확장 모델에서 스테레오 타입 객체는 겹화살괄호({{ }}) 모양으로 표현하며, 스테레오 타입이 기본 타입에 추가적인 의미를 부여하는 것을 나타냅니다."
"previous","220305",1,"소프트웨어설계",7,"GoF(Gang of Four)의 디자인 패턴에서 행위 패턴에 속하는 것은?","","① Builder","② Visitor","③ Prototype","④ Bridge","② Visitor","Builder와 Prototype은 생성 패턴에, Bridge는 구조 패턴에 속합니다."
"previous","220305",1,"소프트웨어설계",8,"자료 사전에서 자료의 생략을 의미하는 기호는?","","① { }","② **","③ =","④ (　)","④ (　)","(　)는 괄호 안에 아무것도 입력하지 않고 비워두는 것으로 자료의 생략을 의미합니다."
"previous","220305",1,"소프트웨어설계",9,"트랜잭션이 올바르게 처리되고 있는지 데이터를 감시하고 제어하는 미들웨어는?","","① RPC","② ORB","③ TP monitor","④ HUB","③ TP monitor","TP monitor는 트랜잭션 관리 시스템(Transaction Management System)의 약자로, 트랜잭션의 일관성을 보장하는 데 사용되는 미들웨어입니다."
"previous","220305",1,"소프트웨어설계",10,"UI 설계 원칙에서 누구나 쉽게 이해하고 사용할 수 있어야 한다는 것은?","","① 유효성","② 직관성","③ 무결성","④ 유연성","② 직관성","직관성은 누구나 쉽게 이해하고 사용할 수 있어야 한다는 원칙으로, 이를 위해서는 사용자의 습관과 경험을 고려하여, 일반적으로 사용되는 용어와 아이콘을 사용하고, 일관된 디자인을 유지해야 합니다."
"previous","220305",1,"소프트웨어설계",11,"XP(eXtreme Programming)의 5가지 가치로 거리가 먼 것은?","","① 용기","② 의사소통","③ 정형분석","④ 피드백","③ 정형분석","정형분석은 소프트웨어 요구사항을 분석하고 설계하는 데에 사용되는 전통적인 방법론입니다."
"previous","220305",1,"소프트웨어설계",12,"UML 모델에서 사용하는 Structural Diagram 에 속하지 않은 것은?","","① Class Diagram","② Object Diagram","③ Component Diagram","④ Activity Diagram","④ Activity Diagram","행위 다이어그램은 시스템의 동작을 나타내는 다이어그램으로, 활동 다이어그램, 상태 머신 다이어그램, 시퀀스 다이어그램, 협업 다이어그램, 커뮤니케이션 다이어그램 등이 있습니다."
